acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
72.81,69.66,70.4,70.2,0.7016,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-13-10-11,2.5e-05,0.4,8,2048,5,0.1,0.2
70.11,65.27,66.07,66.04,0.6812,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-13-19-33,2.5e-05,0.35,8,2048,5,0.1,0.2
42.92,39.05,41.17,38.82,0.3846,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-13-08-01,2.5e-05,0.4,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-13-26-59,3e-05,0.35,8,2048,5,0.1,0.2
73.26,68.8,69.97,68.88,0.7028,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-13-29-09,2.9999999999999997e-05,0.4,8,2048,5,0.1,0.2
70.11,66.14,66.23,67.55,0.6895,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-13-31-08,1e-05,0.6,8,2048,5,0.1,0.2
69.66,63.78,63.51,65.36,0.7020000000000001,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-13-37-08,1e-05,0.35,8,2048,5,0.1,0.2
44.04,41.88,43.05,42.83,0.3992,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-13-19-56,3e-05,0.4,8,2048,5,0.1,0.2
71.01,67.06,66.74,68.6,0.6914,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-13-45-44,2e-05,0.35,8,2048,5,0.1,0.2
56.4,50.58,51.32,51.36,0.5174,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-13-41-34,2e-05,0.6,8,2048,5,0.1,0.2
71.24,67.95,68.11,68.71,0.7047,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-13-46-03,1e-05,0.35,8,2048,5,0.1,0.2
71.69,66.51,67.72,66.55,0.7001,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-13-53-37,2.5e-05,0.35,8,2048,5,0.1,0.2
66.29,63.54,61.7,67.29,0.5972,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-13-54-10,2.5e-05,0.6,8,2048,5,0.1,0.2
57.3,52.76,52.44,53.84,0.5371,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-13-55-02,2e-05,0.35,8,2048,5,0.1,0.2
72.13,68.45,69.39,68.26,0.7022,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-14-02-36,2.9999999999999997e-05,0.35,8,2048,5,0.1,0.2
67.87,64.97,67.05,64.4,0.6525,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-05-21,3e-05,0.6,8,2048,5,0.1,0.2
25.62,11.94,12.07,14.97,0.127,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-14-08-41,2.5e-05,0.35,8,2048,5,0.1,0.2
33.26,13.73,12.01,18.14,0.1357,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-14-15-14,3e-05,0.35,8,2048,5,0.1,0.2
71.24,66.71,68.06,67.09,0.6940000000000001,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-15-12,1e-05,0.5,8,2048,5,0.1,0.2
72.81,69.02,70.17,68.9,0.6834,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-27-02,2e-05,0.5,8,2048,5,0.1,0.2
69.66,66.19,68.12,65.46,0.6926,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-36-30,2.5e-05,0.5,8,2048,5,0.1,0.2
71.91,67.88,69.12,67.92,0.6943,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-46-12,3e-05,0.5,8,2048,5,0.1,0.2
71.46,67.17,67.87,67.92,0.6906,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-14-57-05,1e-05,0.45,8,2048,5,0.1,0.2
71.69,67.55,67.97,68.23,0.6976,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-15-09-00,2e-05,0.45,8,2048,5,0.1,0.2
73.48,70.17,70.03,71.06,0.6915,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-15-19-36,2.5e-05,0.45,8,2048,5,0.1,0.2
70.34,66.25,66.21,67.37,0.6766,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-15-29-32,3e-05,0.45,8,2048,5,0.1,0.2
70.34,65.65,65.52,66.7,0.6940000000000001,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-25-15-38-28,1e-05,0.4,8,2048,5,0.1,0.2
